JAMIE, ORB 1, ORB 2, ORB 3
(-72.38688; 0.055789117; 107.831856),(47.722614; 1.3229556; -95.92159),(-123.6621; 0.9999999; -123.58216),(-122.83191; 0.9999733; 119.247025)
(-79.66844; -6.564107E-5; 109.47187),(46.608627; 1.1968685; -95.371605),(-123.66201; 0.9999999; -123.58234),(-122.83096; 0.9999742; 119.24607)
(-87.27712; -1.6654163E-4; 111.19443),(45.16569; 1.0363073; -94.20021),(-123.66233; 0.9999999; -123.581726),(-122.83426; 0.9999711; 119.2494)
(-94.56201; -2.193319E-5; 112.84407),(43.549168; 0.99932617; -92.80458),(-123.66178; 0.9999999; -123.58276),(-122.82862; 0.99997646; 119.2437)
(-101.84623; -1.3606407E-4; 114.49406),(41.93201; 0.99975026; -91.42866),(-123.66177; 0.9999999; -123.58278),(-122.82856; 0.9999765; 119.243645)
(-109.292564; -0.0010698462; 116.18008),(40.30164; 0.99995315; -90.04178),(-123.662254; 0.9999999; -123.58187),(-122.83347; 0.9999718; 119.248604)
(-116.90135; -5.2606923E-5; 117.90282),(38.623104; 0.99990183; -88.6064),(-123.66231; 0.9999999; -123.581764),(-122.834045; 0.9999713; 119.24918)
(-123.06278; -2.3606943E-4; 118.29957),(37.040012; 0.99999624; -87.231995),(-123.66171; 0.9999999; -123.58289),(-123.69814; 0.99968845; 123.23588)
(-123.079605; -0.0015734609; 110.664345),(35.444897; 0.99868244; -85.84771),(-123.66235; 0.9999999; -123.58168),(-123.096214; 0.9992213; 120.947426)
(-123.09608; -0.0010982568; 103.194954),(33.82759; 0.99996287; -84.4445),(-123.66177; 0.9999999; -123.58278),(-122.484825; 0.999879; 117.57615)
(-123.11218; -5.121872E-5; 95.89158),(32.271053; 0.9999959; -83.09415),(-123.661736; 0.9999999; -123.582855),(-121.8967; 0.9999942; 114.331665)
(-123.12901; -0.0011116193; 88.256355),(30.64042; 0.9995684; -81.68077),(-123.661644; 0.9999999; -123.58302),(-121.26578; 0.999873; 110.97067)
(-123.13785; 0.35339597; 80.80327),(29.070358; 0.9999763; -80.32897),(-123.66221; 0.9999999; -123.58196),(-120.64727; 0.9999905; 107.77045)
(-123.0458; 0.6477319; 73.31321),(27.439056; 0.99999803; -78.924446),(-123.662224; 0.9999999; -123.58193),(-120.003685; 1.000129; 104.44685)
(-123.05106; 0.04395356; 65.6948),(25.785433; 0.9998259; -77.50082),(-123.661766; 0.9999999; -123.58279),(-119.353645; 0.999999; 101.082695)
(-123.067825; -0.009424168; 58.066525),(24.149614; 0.99999297; -76.09053),(-123.661644; 0.9999999; -123.58302),(-118.70992; 0.9998457; 97.75507)
(-123.09067; -4.6261182E-4; 50.430626),(22.525158; 0.9999976; -74.693344),(-123.661766; 0.9999999; -123.58279),(-118.0724; 0.9992897; 94.45814)
(-123.11403; -1.6039883E-4; 42.629322),(20.881811; 0.9983171; -73.28429),(-123.66228; 0.9999999; -123.581825),(-117.43008; 0.99990827; 91.12599)
(-123.13687; -0.0011675073; 34.994087),(19.254774; 0.998606; -71.89226),(-123.66238; 0.9999999; -123.581635),(-116.79474; 0.99999696; 87.82588)
(-123.15839; 0.059049305; 27.693043),(17.672714; 0.9998981; -70.53909),(-123.66193; 0.9999999; -123.58248),(-116.1776; 0.9999854; 84.61627)
(-123.17793; -0.0012597662; 20.234968),(16.06586; 0.99998516; -69.16285),(-123.661644; 0.9999999; -123.58302),(-115.55117; 0.99831617; 81.350006)
(-123.19483; 0.03618388; 12.777),(14.490782; 0.99921083; -67.82295),(-123.66203; 0.9999999; -123.58229),(-114.94399; 1.0614144; 78.17239)
(-123.21833; -1.1436214E-6; 5.1431794),(12.876378; 0.998282; -66.45031),(-123.66234; 0.9999999; -123.58171),(-114.416626; 1.0242373; 74.99357)
(-123.24133; -7.9666854E-5; -2.32614),(11.281976; 0.9999616; -65.09467),(-123.662315; 0.9999999; -123.58176),(-114.06249; 1.0458801; 71.87128)
(-123.25532; 0.08654031; -9.606257),(9.719627; 0.9993574; -63.762688),(-123.66212; 0.9999999; -123.58212),(-113.621925; 1.0831131; 68.988945)
(-123.27899; -0.0028818077; -17.077837),(8.108629; 0.9999876; -62.396255),(-123.661705; 0.9999999; -123.58291),(-112.81872; 1.1021353; 66.13658)
(-123.30268; -0.0014800243; -24.547234),(6.5186453; 0.99999684; -61.047974),(-123.66174; 0.9999999; -123.58284),(-112.03936; 1.1341803; 63.425762)
(-123.32637; -0.0028828923; -32.016445),(4.9540005; 0.99711293; -59.722164),(-123.66234; 0.9999999; -123.58171),(-112.29702; 1.3292551; 61.11412)
(-123.35162; -0.007568947; -39.817398),(3.2855604; 0.9998712; -58.309063),(-123.66225; 0.9999999; -123.58189),(-114.08134; 1.051457; 59.236336)
(-123.37466; 0.019413233; -47.102867),(1.723579; 0.99999845; -56.99708),(-123.66226; 0.9999999; -123.581856),(-116.070526; 0.9979615; 57.60826)
